,Unnamed: 0,anime_id,name,genre,type,episodes,rating,members,synopsis
0,2300,12175,Koi to Senkyo to Chocolate,"Drama, Romance, School",TV,12,7.3,91552,"Yuuki Oojima is a member of his high schools Food Research Club, whose main activity is eating snacks bought with funds allocated to them by the school. However, this peaceful and wasteful lifestyle is under threat as the upcoming student election draws near. Satsuki Shinonome, a major candidate and the head of the department of financial affairs, campaigns on a platform that includes disbanding meritless clubs such as the Food Research Club and redirecting their budgets to proper ones.Understandably, the Food Research Club is in an uproar over this development, with president Chisato Sumiyoshi vowing to preserve it. But what can they even do to stop the highly competent and popular Satsuki from getting elected?"
6,2306,1847,Rec: Yurusarezarumono,"Comedy, Drama, Romance",Special,1,7.3,16654,"While going out to eat with his roommate Aka Onda, Fumihiko Matsumaru encounters Tanaka, a woman from his companys accounting department who had previously stood him up on a date. Dumped by her boyfriend just minutes before, Tanaka forces Fumihiko to drink with her, spurring Akas jealousy.After Fumihiko escorts a drunk Tanaka home, he ends up tending to her the entire night, leading Aka to become suspicious. How will Fumihiko clear up the misunderstanding?"
7,2307,16051,Ro-Kyu-Bu! SS,"Comedy, Ecchi, School, Sports",TV,12,7.3,21125,"After their loss against Suzuridani Academy, the members of the Keishin Academy girls basketball team—Tomoka Minato, Maho Misawa, Airi Kashii, Hinata Hakamada, and Saki Nagatsuka, along with their coach, Subaru Hasegawa—exert more of their time and effort in improving in the sport day by day. However, this time around, new rivals with strengths possibly exceedings theirs and friends appear on their way to the top."
13,2313,178,Ultra Maniac,"Comedy, Magic, Romance, School, Shoujo",TV,26,7.3,20062,"Fantasies and miracles never interested Ayu Tateishi, a popular second-year student at her middle school. She was content with preserving her image of being cool, calm, and collected—all to catch the eye of her crush, Tetsushi Kaji. Ayus carefree youthful days are interrupted by the appearance of Nina Sakura, a new transfer student who turns out to be a witch. As the only person who knows about Ninas ability to cast spells using a mini-computer, Ayu is forced to help Nina with her mission to find the five Holy Stones, qualifying her to marry the prince of the Magic Kingdom.Unfortunately, Ninas ineptitude with magic and her habit of meddling in Ayus personal life cause nothing but trouble for the two of them as Ayu toils to maintain her good reputation and Nina struggles to hide her secret from the discerning eye of Hiroki Tsujiai, Tetsushis best friend and an avid fan of manga. And when Ninas search for the five Holy Stones brings allies and challengers from the Magic Kingdom, Ayu is dragged into a world she never even dreamed was possible."
17,2317,30205,Aoharu x Kikanjuu,"Action, Comedy, Shounen, Sports",TV,12,7.29,97674,"Hotaru Tachibana has a strong sense of justice and just cannot help confronting those who choose to perform malicious acts. Furthermore, Hotaru is actually a girl who likes to disguise herself as a boy. After hearing rumors that her best friend was tricked by the popular host of a local club, Hotaru seeks to punish the evildoer. Upon arriving at the club, however, she is challenged to a so-called ""survival game"" by the host Masamune Matsuoka, where the first person hit by the bullet of a toy gun will lose.After a destructive fight which results in Hotarus loss, Masamune forces the young ""boy"" to join his survival game team named Toy Gun Gun, in order to repay the cost of the damages that ""he"" has caused inside the club. Although she is initially unhappy with this turn of events, Hotaru quickly begins to enjoy what survival games have to offer and is determined to pay off her debt, much to the dismay of Tooru Yukimura, the other member of Toy Gun Gun. As time goes on, Hotaru begins to develop a close friendship with the rest of the team and hopes to take part in realizing their dream of winning the Top Combat Game (TCG), a tournament to decide the best survival game team in Japan.Although Hotaru tries her best, there are just two little problems: she is absolutely terrible at the game, and Toy Gun Gun doesnt allow female members on their team!"
18,2318,6164,Aoi Hana,"Romance, Shoujo Ai, Slice of Life",TV,11,7.29,43279,"Shy and soft-spoken Fumi Manjoume and upfront and caring Akira Okudaira were best friends in elementary school, but this changed when Fumi and her family moved away. Years later, Fumi moves back to her hometown after being accepted at Matsuoka Girls’ High School. She finally reunites with Akira, who is going to attend Fujigatani Girls’ Academy. Despite their reunion, their relationship isnt the same as it was years ago.As soon as Fumi starts attending school, popular senior Yasuko Sugimoto takes notice of her and flatters her more than any other underclassmen. After running to Akira for help so many times before, Fumi must figure out who she is as a person instead of standing in someone else’s shadow.  However, that doesn’t stop Akira from wanting her friendship with Fumi to be as it once was. Will the girls be able to conquer the high school stage of growing up before it pulls them apart?"
24,2324,21437,Buddy Complex,"Action, Mecha, Sci-Fi",TV,13,7.29,44006,"When ordinary high school student Aoba Watase is suddenly targeted by a giant robot known as a ""Valiancer,"" he is saved by his mysterious classmate Hina Yumihara. After revealing that she and their robotic enemy are from the future, Hina suddenly propels Aoba 70 years forward in order to prevent his death.Upon arrival, Aoba finds himself in the cockpit of a Valiancer called ""Luxon,"" stuck in the midst of a firefight between the military forces of the Free Pact Alliance (FPA) and Zogilia Republic. After he shows high compatibility with an FPA pilot named Dio Weinberg, the two perform a successful ""coupling,"" allowing them to share experiences and subsequently increase their capabilities and skills. Although Aoba is able to survive this unexpected battle, he is taken into custody by the FPA ship Cygnus, who wishes to interrogate him. While the students main concern is whether he will ever be able to return home, what he doesnt realize is that he is about to get caught up in a war to protect the world."
32,2332,395,Gantz 2nd Stage,"Action, Drama, Horror, Psychological, Sci-Fi, Supernatural",TV,13,7.29,87240,"Despite having seemingly returned to their normal lives, Kei Kurono, Masaru Katou, and Kei Kishimoto are forced back into the lethal game after Gantzs recent activity. The black sphere continues to summon recently deceased people to fight alien invaders. And having survived the two previous encounters, the trio are more than prepared for the upcoming missions.As they progress through the tournaments stages, the three proceed in their attempt to earn 100 points, which is said to be the only way to leave the parallel dimension for good. However, with the constant onslaught of alien invaders and the threat of imminent death, they must first focus on the task at hand—immediate survival."
33,2333,1490,Ginga Tetsudou Monogatari,"Action, Adventure, Drama, Sci-Fi, Space",TV,26,7.29,5947,"In the distant future, trains are no longer bound by their physical tracks. Instead, they take to the skies and travel across the universe on the Galaxy Railways, transporting mankind from planet to planet. However, the Galaxy Railways are no safer than traditional trains: criminals, terrorists, and vile aliens always find a way to stir up trouble. Manabu Yuuki, a rash and hot-headed man, is the latest addition to the Galaxy Railways elite Space Defence Force (SDF). These brave men and women are responsible for protecting the railways and responding to any unprecedented danger, risking their lives to protect the innocent from evil. But as this drama unfolds and the SDFs greatest crisis draws nearer, Manabu must truly learn what it means to be a member of the SDF before it is too late."
36,2336,1371,Hi no Tori,"Adventure, Drama, Historical, Sci-Fi, Supernatural",TV,13,7.29,4247,"From prehistoric times to the distant future, Hi no Tori portrays how the legendary immortal bird Phoenix acts as a witness and chronicler for the history of mankinds endless struggle in search of power, justice, and freedom.The DawnSince time immemorial, people have sought out the legendary Phoenix for its blood, which is known to grant eternal life. Hearing about rumored Phoenix sightings in the Land of Fire, Himiko—the cruel queen of Yamatai obsessed with immortality—sends her army to conquer the nation and retrieve the creature. Young Nagi, his elder sister Hinaku, and her foreign husband Guzuri are the only survivors of the slaughter. But while Nagi is taken prisoner by the enemy, elsewhere, Hinaku has a shocking revelation. The ResurrectionIn a distant future where Earth has become uninhabitable, Leona undergoes surgery on a space station to recover from a deadly accident. However, while also suffering from amnesia, his brain is now half cybernetic and causes him to see people as formless scraps and robots as humans. Falling in love with Chihiro, a discarded robot, they escape together from the space station to prevent Chihiro from being destroyed. Yet as his lost memories gradually return, Leona will have to confront the painful truth about his past.The TransformationYearning for independence, Sakon no Suke—the only daughter of a tyrant ruler—kills priestess Yao Bikuni, the sole person capable of curing her fathers illness. Consequently, she and her faithful servant, Kahei, are unexpectedly confined to the temple grounds of Bikunis sanctuary. While searching for a way out, Sakon no Suke assumes the priestesss position and uses a miraculous feather to heal all those reaching out for help.The SunAfter his faction loses the war, Prince Harimas head is replaced with a wolfs. An old medicine woman who recognizes his bloodline assists him and the wounded General Azumi-no-muraji Saruta in escaping to Wah Land. But their arrival at a small Wah village is met with unexpected trouble as Houben, a powerful Buddhist monk, wants Harima dead. With the aid of the Ku clan wolf gods that protect the villages surroundings, he survives the murder attempt. After tensions settle, Saruta uses his established reputation in Wah to persuade the villagers to welcome Harima into their community. Over a period of time, Harima becomes the villages respected leader under the name Inugami no Sukune. But while the young prince adapts to his new role, he must remain vigilant as new dangers soon arise and threaten his recently acquired tranquility. The FutureLife on Earth has gradually ceased to exist, with the survivors taking refuge in underground cities. To avoid human extinction, Doctor Saruta unsuccessfully tries to recreate life in his laboratory. However, the unexpected visit of Masato Yamanobe, his alien girlfriend Tamami, and his colleague Rock Holmes reveals a disturbing crisis: the computers that regulate the subterranean cities have initiated a nuclear war that will eliminate all of mankind."
