Unnamed: 0,anime_id,name,genre,type,episodes,rating,members,synopsis
3400,3631,Aoi Blink,"Adventure, Fantasy",TV,39,7.0,931,0
3401,750,Binchou-tan,"Comedy, Slice of Life",TV,12,7.0,6960,0
3402,6246,Black Jack: Sora kara Kita Kodomo,Drama,OVA,1,7.0,1595,0
3403,25437,Brothers Conflict OVA,"Harem, Romance, Shoujo",OVA,2,7.0,10286,0
3404,2684,Buzzer Beater 2nd Season,"Action, Sci-Fi, Shounen, Sports",TV,13,7.0,5193,0
3405,2121,Captain Tsubasa: Sekai Daikessen!! Jr. World Cup,"Action, Shounen, Sports",Movie,1,7.0,2334,0
3406,32483,Cheer Danshi!!,"School, Sports",TV,12,7.0,29219,0
3407,514,Cossette no Shouzou,"Drama, Horror, Magic, Psychological, Romance, Supernatural",OVA,3,7.0,40318,0
3408,22699,Dragon Ball Z: Zenbu Misemasu Toshi Wasure Dragon Ball Z!,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Slice of Life, Super Power",Special,1,7.0,4153,0
3409,124,Fushigi Yuugi: Eikouden,"Adventure, Drama, Fantasy, Romance, Shoujo",OVA,4,7.0,11740,0
3410,9154,Kindaichi Shounen no Jikenbo: Satsuriku no Deep Blue,"Mystery, Shounen",Movie,1,7.0,631,0
3411,2215,Kishin Taisen Gigantic Formula,"Mecha, Sci-Fi",TV,26,7.0,4633,0
3412,5091,Manga Sarutobi Sasuke,"Adventure, Comedy, Historical, Supernatural",TV,24,7.0,523,0
3413,3462,Minky Momo in Yume ni Kakeru Hashi,"Drama, Shoujo, Slice of Life",OVA,1,7.0,600,0
3414,1917,Mobile Suit Gundam MS IGLOO: The Hidden One Year War,"Mecha, Military, Sci-Fi, Space",OVA,3,7.0,8274,0
3415,33546,Monster Strike: Mermaid Rhapsody,"Action, Fantasy, Game",ONA,1,7.0,854,0
3416,1792,Overman King Gainer,"Action, Adventure, Mecha, Sci-Fi, Shounen",TV,26,7.0,6551,0
3417,13377,Recorder to Randoseru Re♪,"Comedy, School, Seinen, Slice of Life",TV,13,7.0,17283,0
3418,19365,Samurai Flamenco,"Action, Comedy, Parody",TV,22,7.0,74324,0
3419,30806,Schwarzesmarken,"Action, Drama, Historical, Mecha, Military, Sci-Fi",TV,12,7.0,51632,0
3420,884,Shin Angyo Onshi,"Action, Fantasy",Movie,1,7.0,13231,0
3421,19841,Super Seisyun Brothers,"Comedy, Josei, Slice of Life",TV,14,7.0,18072,0
3422,3248,Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku,"Action, Drama, Historical, Supernatural",Special,5,7.0,1892,0
3423,21851,Tesagure! Bukatsumono Encore,"Parody, School, Slice of Life",TV,12,7.0,2084,0
3424,5830,Tsurupika Hagemaru-kun,"Comedy, Kids",TV,59,7.0,322,0
3425,3501,Wellber no Monogatari: Sisters of Wellber Zwei,"Adventure, Fantasy, Historical, Romance",TV,13,7.0,3038,0
3426,6479,Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron,"Romance, Shoujo Ai, Slice of Life",Special,1,6.99,15078,0
3427,2274,CLAMP in Wonderland,Music,Music,1,6.99,12267,0
3428,1841,Dai Mahou Touge Omake,Comedy,Special,4,6.99,5579,0
3429,292,Dear Boys,"Drama, Shounen, Sports",TV,26,6.99,12662,0
3430,896,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,1,6.99,57840,0
3431,118,El Hazard 2: The Magnificent World,"Adventure, Comedy, Fantasy",OVA,4,6.99,5771,0
3432,2973,Fire Tripper,"Fantasy, Sci-Fi",OVA,1,6.99,2115,0
