,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,anime_id,name,genre,type,episodes,rating,members,synopsis
0,0,7,3707,623,Shichinin no Nana,"Adventure, Comedy, Magic, Romance, School",TV,25,6.91,2915,"On the last Valentines Day before her high school entrance exams, Nana Suzuki tries to build up the courage to confess to her longtime crush. However, when her chocolates are accidentally ruined, she rushes back to her house to make more—not realizing that the microwave has been turned into a strange invention by her grandfather. Suddenly, six additional copies of Nana appear, each possessing their own extreme personality and a crystal that grants them magic powers!With her plans ruined, Nana vows to confess to her crush in her first year of high school. The only problem is that her crush is top student Yuuichi Kamichika, and following him to his elite high school will mean that she has to hit the books. With six new allies to help her, Nana begins to prepare for anything that the exam season might throw at her."
1,1,9,3709,10502,Tansu Warashi.,"Comedy, Slice of Life, Supernatural",Movie,1,6.91,4028,"Noel Hiiragi thinks that her life is stressful enough living alone and working at a call center when her mother sends her a six-drawer wardrobe out of the blue. In hopes of returning the furniture after attempting to stuff it in a corner of her tiny apartment, she calls her mother to complain about the sudden burden, but her mom only vaguely tells Noel that it is ""her turn.""When Noel returns from a night of drinking, she finds a fat child in her apartment eating her food. Shocked and confused, she eventually discovers that her mothers wardrobe contains six strange children who claim to serve the current mistress of the Hiiragi family. Refusing to buy this blunt explanation, Noel struggles to adapt to her new lifestyle, wondering whether the childrens service is a blessing or a curse."
2,2,13,3713,31430,Terra Formars Revenge,"Action, Drama, Horror, Sci-Fi, Seinen, Space",TV,13,6.91,34176,"In Terra Formars Revenge, the crew members of the Annex I continue to fight against Terraformars—the large humanoid cockroaches that evolved from the ones sent to Mars centuries ago. However, far from discovering the cure for the lethal Alien Engine Virus that has been plaguing Earth, the Annex I team have learned that some squadrons have agendas from their own countries. Now, the squadrons must not only fight against the Terraformars for their survival, but also each other in the never-ending battle for international dominance."
3,3,18,3718,2884,Aachi wa Ssipak,"Action, Comedy",Movie,1,6.9,5566,"After the world ran out of all traditional energy sources, only one remained—human excrement. To encourage citizens to produce as much waste as possible, the government implants a chip in the anus at birth, which provides citizens with ""juicybars"" every time it detects defecation. Juicybars are highly addictive narcotics that sometimes transform their users into mutant blue dwarfs with extreme constipation. These mutant addicts make up the ""Diaper Gang,"" those who live underground and are focused on trying to obtain juicybars.Aachi and Ssipak are two small-time crooks who steal and sell juicybars to make it on the streets. When they meet a beautiful woman who has the anal chips of every Diaper Gang member implanted in her, producing dozens of juicybars with every dump, Aachi and Ssipak strike it rich. However, with both the government and the Diaper Gang on their tails, the two struggle to protect their newfound riches."
4,4,43,3743,88,Mobile Suit Gundam F91,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1,6.9,13456,"In the year 123 of the Universal Century, skirmishes between the Federation government and the rebel group Crossbones Vanguard echo across Earths space colonies. One of these small battles breaks in the hometown of young Seabook Arno, forcing him and his friends to flee and ensnaring them in the political turmoil that is quickly evolving into an all-out war.Seabook meets Cecily Fairchild, granddaughter of the aristocrat Meitzer Ronah, who seeks to create a new political power called ""Cosmo Babylonia."" Using the Crossbone Vanguard as its muscle, the Ronah family schemes to restore aristocratic rule and establish an economic system that will benefit the nobility, thus devastating the quality of life for the common people of the Earth Sphere.Seabook is tasked with piloting the Gundam F91, a mobile suit created by his mother, and must choose between protecting the status Federations status quo or cooperating with Cecily to find a better way of life for all."
5,5,55,3755,16419,Dokidoki! Precure,"Action, Fantasy, Magic, Shoujo",TV,49,6.89,7571,"Middle schooler Mana Aida is known for her vivid passion and kind-hearted disposition, especially by her friends Rikka Hishikawa and Alice Yotsuba. While the girls are on a school field trip, otherworldly villains from the ""Trump Kingdom"" appear and create giant monsters from the civilians selfish desires to cause havoc. In the midst of finding a way to stop the destruction, Mana encounters ""Cure Sword,"" a mysterious Precure warrior. As Cure Sword engages in combat with the monsters, Mana meets Cure Swords fairy allies, who tell her that she also has the ability to transform into a warrior herself. When Trump Kingdoms invaders begin to outnumber Cure Sword, Mana takes to the battleground with resolve. She partners with Sharuru, one of the fairies, and transforms into ""Cure Heart""—the Precure of Love. In her attempts to ally with Cure Sword, Mana ends up pulling Rikka and Alice into the fray, whom each partner with a fairy ally to transform into ""Cure Diamond"" and ""Cure Rosetta,"" respectively. Together, they battle against the Trump Kingdom invaders to protect the love in the world from being destroyed."
6,6,56,3756,895,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,1,6.89,53765,"In his laboratory, biotechnology expert Dr. Kochin gathers the dragon balls intending to free his master Dr. Uirou, a mad scientist hellbent on ruling the world, forever frozen in the never-melting ice of the Tsurumai-Tsuburi Mountains. Attempting to locate the dragon balls, Gohan Son and Oolong arrive at the scene and are ambushed by several creatures known as ""Bio-Men."" Training nearby, Piccolo attempts to save them but is then attacked by three mysterious warriors. When the ice beneath them breaks, it cuts their altercation short, burying Gohan and Oolong within.After regaining consciousness, they return home to Kame House only to encounter Bio-Men, demanding Muten-Roushi to follow them. Refusing, he easily defeats the creatures, piquing Dr. Kochins interest. Under the impression of Muten-Roushi being the strongest man in the world, Dr. Kochin takes Bulma hostage, forcing Roushis agreement to accompany him in mysterious plans involving his master. Who are Dr. Kochin and Dr. Uirou? What even is their purpose?"
7,7,75,3775,33031,Shakunetsu no Takkyuu Musume,Sports,TV,12,6.89,14465,"In the world of Japanese ping pong, a mighty king has fallen. An underdog team suddenly breaks the indomitable Oudou Academys nine year winning streak, creating a power vacuum as players everywhere are given hope that they too can reach the national tournament.Suzumegahara Middle School is home to a small-time team: Hanabi Tenka, who has a rapid attack style; Hokuto Itsumo, who can predict the balls most likely path; Agari Kamiya, famous for her signature backhand smash; vice-captain Mune Oomune, who has an aggressive playstyle; and team captain Kiruka Ushirode, who possesses an impenetrable defense. Despite their skill at ping pong, the team has never made it further than the local city tournaments.But everything changes when transfer student Koyori Tsumujikaze arrives in town. Filled with an intense love of the game, she quickly makes a name for herself as another top player on the team. Koyoris positive attitude towards ping pong lights a fire in each of the girls competitive hearts, and together they embark on a mission to win the national tournament."
8,8,76,3776,2263,Sonic★the★Hedgehog,"Adventure, Comedy, Sci-Fi, Shounen",OVA,2,6.89,7297,"Living in the wreckage of a rusty old airplane on the shimmering shores of South Island, Sonic the Hedgehog and his buddy Miles ""Tails"" Prower have not a care in the world. The president of Planet Freedom urgently summons the duo, but trouble is afoot when Sonic and Tails instead find the good-for-nothing Dr. Eggman lounging about his office as if it were his own.While Sonic would prefer to scramble Eggman and move on with his day, the doctor claims not to have new plans for world domination. He instead pleads for help: the generator powering Eggmans home city of Eggmanland has been hijacked and overloaded by a mysterious menace. If left unattended, it will explode, taking both Eggman and Sonics homes with it.Reluctantly agreeing on the off chance Eggman is telling the truth, Sonic and Tails set out into the abyss—where an unknown yet uncannily familiar enemy lies in wait."
9,9,83,3783,27887,Yama no Susume Second Season Specials,"Comedy, Slice of Life",Special,2,6.89,2939,"Bura no Susume?After learning that her friend only wears sports bras, Yuuka Sasahara insists that Kaede Saitou buy more feminine undergarments. Despite failing to understand the appeal of flashy clothing, Kaede inevitably goes shopping with Aoi Yukimura, Hinata Kuraue, and Kokona Aoba—an outing that may prove to be a climb of its own.Yama no Susume Besuto Ten!The girls look back on their top 10 favorite moments so far, but some events appear different from what they remember."
