,Unnamed: 0,anime_id,name,genre,type,episodes,rating,members,synopsis
0,9500,32059,Master of Torque 3,"Action, Sci-Fi",ONA,1,4.83,167,"At the end of the Four Seasons: Fuuka and Nanami episode, a trailer was shown announcing a 3rd season of Master of Torque being released in 2016."
1,9501,30781,Matsubara-kun,Comedy,ONA,5,4.59,84,Matsubara-kun commemorates the 60th anniversary of Matsubaras incorporation as a city.(Source: ANN)
2,9502,33843,Matsubara-kun: Mackie E no Ouen Message,Comedy,ONA,1,3.38,48,"Matsubara-kun gives his support to Mackie, a fellow Matsubara city mascot, for the 2015 yuru-chara grand prix."
3,9503,27951,Mattsu to Yanma to Moburi-san 2: Suigun Otakara to Nazotoki no Shimajima,"Fantasy, Magic",ONA,1,4.95,168,The sequel will focus on the islands west of the city. (Source: ANN)
4,9504,25301,Maya no Isshou,"Drama, Historical, Slice of Life",Movie,1,8.75,66,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
5,9505,10239,Mayutoro The Toons,"Comedy, Fantasy, Kids",TV,33,5.38,76,No synopsis has been added for this series yet.Click here to update this information.
6,9506,29719,Maze Maze Wien,Dementia,Movie,1,5.9,59,"An independent film by Yonesho Maya using her unique style of combining card-sized drawings and stop motion animation that walks the viewer through real locales, in this case, Vienna."
7,9507,8442,Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant,"Adventure, Comedy, Fantasy, Mecha, Shounen",Movie,1,6.22,381,"Long time ago, there was peace until the giants decide to wake up after years and years of slumber.The three priestesses sisters who were guarding their shrine had to retreat to seek help and who better to ask Maze for help. (Source: Maze Of The Haze)"
8,9508,9821,McDull and Chinese Culture,"Comedy, Historical",TV,5,6.79,90,Featuring McDull going through Chinese cultures with children.
10,9510,11711,Me wo Samase Toragorou,Kids,Special,1,5.67,69,"There lived a tiger in the bamboo forest on the top of the mountain. He went by the name of ""Tigger"". Tigger the tiger was the Tiger of tigers.He was a lazy fellow always thinking of Nikuman (a dumpling).Then, there came the Hunter. With a bang, he shot and killed the animals. He thought there were no threat to man in the world. But he had come to wake to Tigger, the Wild Tiger!(Source: Official website)"
11,9511,26221,Mebae no Ashita,"Drama, Kids",OVA,1,8.33,45,An educational film about trying to see others by walking a mile in their shoes. This one focuses on a listless teenager who is having trouble with his university entrance examinations and his father harping on him; and a pregnant woman who wants to work after the birth but her husband thinks its wrong because a womans place is in the home.
12,9512,31009,Mebuki,"Drama, Kids",OVA,1,7.0,34,An educational film about listening to your inner voice when you see discrimination. Social customs and values should not override cruelty and abuse done upon others.
13,9513,16834,Mecha Robot Corps 3,"Action, Adventure, Mecha, Shounen",Movie,1,4.31,82,"A movie taking place in the same universe as Solar I.II.III. Once again, a group of teenagers save the world with their giant robot."
