,Watched Anime,First Recommendation,Second Recommendation,Third Recommendation
0,Monster Farm: Enbanseki no Himitsu,Monster Farm: Legend e no Michi,NG Knight Ramune &amp; 40,Oreca Battle
1,Nishi no Yoki Majo: Astraea Testament,Mikakunin de Shinkoukei,Hika Ryoujoku: Wana ni Hamatta Futari,Endless Serenade
2,Ookami Shoujo to Kuro Ouji Recap,Ushio to Tora (TV) 2nd Season,Perrine Monogatari Movie,Moshidora Recap
3,Panda Kopanda,Gokyoudai Monogatari,Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,Kodomo no Omocha
4,Peter Pan no Bouken,One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,Little Busters!,Jim Button
5,RESTART POiNTER,MONSTER GENERATiON,Gekkou Shokudou,Jikkyou Chuukei
6,Sekai Meisaku Douwa: Wow! Maerchen Oukoku,Tokimeki Memorial: Only Love Specials,Gakkou no Kaidan (OVA),Mobile Suit Gundam Seed Special Edition
7,Shichinin no Nana,Tenshi Nanka ja Nai,Koutetsu Tenshi Kurumi 2,HaruChika: Haruta to Chika wa Seishun suru
8,Shin Koihime†Musou: Otome Tairan OVA,Goku Sayonara Zetsubou Sensei,Choujin Densetsu Urotsukidouji Movie,Tsuyoshi Shikkari Shinasai: Tsuyoshi no Time Machine de Shikkari Shinasai
9,Tansu Warashi.,Neko no Ongaeshi,Atashin&#039;chi 3D Movie: Jounetsu no Chou Chounouryoku Haha Dai Bousou,Amaama to Inazuma
10,Teekyuu 2,Washimo 2nd Season,Hiiro no Kakera Dai Ni Shou,Mitsudomoe Zouryouchuu!
11,Tenshi ni Narumon!,High School DxD,Juuou Mujin no Fafnir,Cutey Honey Flash: The Movie
12,Terra e... (TV) Specials,Sinbad: Soratobu Hime to Himitsu no Shima Pilot,Sora no Manimani Specials,Seto no Hanayome Fan Disc
13,Terra Formars Revenge,Suisei no Gargantia,Gall Force: Chikyuu Shou,Muv-Luv Alternative: Total Eclipse
14,To Heart 2 AD Plus,Happy ComeCome,Nazotokine,Cosplay Roshutsu Kenkyuukai
